plz,district,name,street,house_number,provider,licensed_capacity
10999,Friedrichshain-Kreuzberg,EKT Makke,Glogauer Str.,022,EKT Makke e.V.,22
10999,Friedrichshain-Kreuzberg,Kita-kinderbunt,Ohlauer Str.,044,Kita-kinderbunt UG (haftungsbeschränkt),20
10999,Friedrichshain-Kreuzberg,Kita BABB Kreuzberg I,Liegnitzer Str.,014,TÄKS e. V.,19
10999,Friedrichshain-Kreuzberg,Die kleine Welt,Forster Str.,017,Schippe und Eimer e.V.,19
10999,Friedrichshain-Kreuzberg,EKT - Wilde 13,Reichenberger Str.,090,"Verein zur Unterhaltung und Förderung der Eltern-Initiativ-Kindertagesstätte ""Wilde 13"" e.V.",18
10999,Friedrichshain-Kreuzberg,EKT - Kinderladen Bande,Oranienstr.,202,Kinderladen Bande e.V.,15
10999,Friedrichshain-Kreuzberg,EKT Lindenblüte,Forster Str.,056,Eltern-Initiativ-Kindertagesstätte Lindenblüte e.V.,15
10999,Friedrichshain-Kreuzberg,Kita Till Eulenspiegel-Kette,Admiralstr.,020,"Eltern - Kinder - Schüler - Gruppe ""Till Eulenspiegel Kette"" e.V.",15
12043,Neukölln,Kita Reuterstr. 72/Kitas SüdOst,Reuterstr.,073,Kindertagesstätten SüdOst Eigenbetrieb von Berlin,210
12043,Neukölln,"""Mosaik""",Donaustr.,088,edura Kindertagesstätten gGmbH,130
12043,Neukölln,Kita Flamingos,Karl-Marx-Str.,188,eventus Bildung gGmbH,120
12043,Neukölln,Kita Zwergplaneten,Hobrechtstr.,008,Sprache verbindet IB gGmbH,70
12043,Neukölln,Kleiner Fratz,Karl-Marx-Str.,145,Kleiner Fratz GmbH,60
12043,Neukölln,Kita Kinderparadies Neukölln,Karl-Marx-Str.,146,IBEB Initiative für Bildung und Erziehung Berlin gemeinnützige GmbH,54
12043,Neukölln,Kita Mosaikraupen,Berthelsdorfer Str.,014,edura Kindertagesstätten gGmbH,40
12043,Neukölln,Bärliner Blümchen,Donaustr.,039,Bright Kids KITA gemeinnützige UG (haftungsbeschränkt),25
12043,Neukölln,Kita Frühlicht KIDZ,Donaustr.,52,"JuBiSA - Jugend, Bildung und Soziale Arbeit gemeinnützige UG (haftungsbeschränkt)",25
12043,Neukölln,Kinderladen Großstadtgören,Uthmannstr.,018,Schabernick UG (haftungsbeschränkt),22
12043,Neukölln,Kita Rixdorfer Rüpel,Berthelsdorfer Str.,011,Orte für Kinder GmbH,20
12043,Neukölln,Kinderladen Highway 2,Anzengruberstr.,015,Kinderladen Highway gGmbH,20
12043,Neukölln,Kita Wichtelgarten,Donaustr.,006,Süsswasser GmbH,20
12043,Neukölln,Kita Hoppipolla,Berthelsdorfer Str.,005,Hoppipolla e.V.,19
12043,Neukölln,EKT - Yong,Donaustr.,114,Kinderladen Yong e.V.,15
12043,Neukölln,Kleiner Fratz - Rixdorfer Grundschule (nur Sprachförderung),Donaustr.,120,Kleiner Fratz GmbH,15
12043,Neukölln,Kita Uthmannstr. 17/Kitas SüdOst,Uthmannstr.,17,Kindertagesstätten SüdOst Eigenbetrieb von Berlin,0
12045,Neukölln,Kita Wildenbruchstr. 25/Kitas SüdOst,Wildenbruchstr.,025,Kindertagesstätten SüdOst Eigenbetrieb von Berlin,160
12045,Neukölln,"Kita ""Sonnenschein""",Pflügerstr.,047,edura Kindertagesstätten gGmbH,137
12045,Neukölln,Kita Beerenstark,Weserstr.,186,Unionhilfswerk Sozialeinrichtungen gemeinnützige Gesellschaft mbH,123
12045,Neukölln,Kita Villa Kunterbunt,Weserstr.,198,Arbeiterwohlfahrt Berlin Kreisverband Südost e.V.,120
12045,Neukölln,Kita Rütlistr. 7/Kitas SüdOst,Rütlistr.,7,Kindertagesstätten SüdOst Eigenbetrieb von Berlin,106
12045,Neukölln,Kita/WeG gGmbH,Weserstr.,155,WeG gGmbH,70
12045,Neukölln,Ev. Kita Martin-Luther/ Kirchenkreis Neukölln,Fuldastr.,048,Evangelischer Verband für Kita und Familie,50
12045,Neukölln,"EKT - ""Minnie Maus"" Verein z.Errichtung u.Betreibung v.EKT's e.V.",Innstr.,035,Verein zur Errichtung und Betreibung von EKT's e.V.,46
12045,Neukölln,Kita Kleine Weltkinder,Weserstr.,26,Bildungshafen gUG,45
12045,Neukölln,EKT Lima,Weichselstr.,038,EKT LIMA e.V.,35
12045,Neukölln,EKT Highway,Finowstr.,008,Kinderladen Highway gGmbH,33
12045,Neukölln,Kindertagesstätte Glitzerkröten,Weichselstr.,021,Kindertagesstätte Glitzerkröten e. V.,29
12045,Neukölln,Kindergarten Ackerwinde,Schandauer Str.,008,Kindergarten Ackerwinde e. V.,24
12045,Neukölln,EKT - Loupiot,Fuldastr.,037,Loupiot e. V.,22
12045,Neukölln,EKT Zottelbär,Jansastr.,014,Eltern-Initiativ-Kindertagesstätte Zottelbär e. V.,20
12045,Neukölln,Kleine Kita Mittendrin,Fuldastr.,050,Evangelischer Verband für Kita und Familie,20
12045,Neukölln,Kitaquarium,Weserstr.,162,L'Aquarium e. V.,20
12045,Neukölln,Kita Ackerwinde,Innstr.,044,Kindergarten Ackerwinde e. V.,12
12045,Neukölln,Kita Weichselstraße,Weichselstr.,22,Forum Soziale Dienste Kita I GmbH,0
12047,Neukölln,Ev. Kita Nikodemus,Nansenstr.,027,Evangelischer Verband für Kita und Familie,100
12047,Neukölln,Kita Sternengarten,Hobrechtstr.,032,edura Kindertagesstätten Yuvam gGmbH,90
12047,Neukölln,Katholische Kindertagesstätte St. Christophorus,Nansenstr.,007,Kitas im Erzbistum Berlin-Zweckverband der katholischen Kirchengemeinden,75
12047,Neukölln,"Kita ""Rotkäppchen""",Pannierstr.,010,edura Kindertagesstätten Yuvam gGmbH,62
12047,Neukölln,Kita Pan,Pannierstr.,006,Forum Soziale Dienste Kita I GmbH,55
12047,Neukölln,Kita Lenaustraße,Lenaustr.,012,International City Kids gGmbH,28
12047,Neukölln,EKT Schokoschnuten,Pflügerstr.,057,EKT Schokoschnuten e. V.,25
12047,Neukölln,Coworking Toddler Maybachufer,Maybachufer,037,CT Toddler Berlin gUG (haftungsbeschränkt),25
12047,Neukölln,EKT - Naseweis,Friedelstr.,35,NASEWEIS e.V.,22
12047,Neukölln,miKita,Maybachufer,005,miKita e. V.,22
12047,Neukölln,EKT - Kinderfan,Maybachufer,039,Kinderfan e.V.,20
12047,Neukölln,EKT - Rasselbande,Weserstr.,212,Rasselbande e.V.,20
12047,Neukölln,Kita Kinderbunt Maybachufer,Maybachufer,011,Kita-kinderbunt UG (haftungsbeschränkt),20
12047,Neukölln,EKT - Waffelbande,Friedelstr.,022,Waffelbande e.V.,15
12047,Neukölln,EKT - Einstürzende Bauklötze,Hobrechtstr.,017,Einstürzende Bauklötze e.V.,15
12049,Neukölln,Kita Lucy-Lameck-Straße 33 / Kitas SüdOst,Lucy-Lameck-Str.,033,Kindertagesstätten SüdOst Eigenbetrieb von Berlin,216
12049,Neukölln,Kita Lernen & Lachen,Lichtenrader Str.,6,Jugend- und Sozialwerk gGmbH,92
12049,Neukölln,Kita Genezareth,Allerstr.,033,Evangelischer Verband für Kita und Familie,70
12049,Neukölln,Kita Mahlower Straße 23,Mahlower Str.,023,Neuzeitlich-Christliche Initiative e.V.,65
12049,Neukölln,Kleiner Fratz,Weisestr.,028,Kleiner Fratz GmbH,62
12049,Neukölln,Kita Columbus,Allerstr.,037,Columbus gGmbH,44
12049,Neukölln,EKT - Neuzeitlich-christliche Initiative,Selchower Str.,028,Neuzeitlich-Christliche Initiative e.V.,35
12049,Neukölln,EKT - 1001 Nacht,Karlsgartenstr.,4,TIMELA e.V.,35
12049,Neukölln,Kita Igelschnute,Allerstr.,044,Hauptstadtracker gGmbH,31
12049,Neukölln,Kita Salam-Frieden,Kienitzer Str.,104,Wassila Soziale Gesellschaft für Integration u. Arbeit mit Kindern und Jugendlichen gGmbH,30
12049,Neukölln,Kinderladen Die kleinen Kivis,Lucy-Lameck-Str.,31,Forum Naturfreundejugend Berlin e.V.,25
12049,Neukölln,Kita Santa Maria,Weisestr.,026,Columbus gGmbH,23
12049,Neukölln,Kita Sonnenkönig,Allerstr.,042,Kita Sonnenkönig gGmbH,23
12049,Neukölln,Kita Timbales,Kienitzer Str.,099,Timbales e. V.,22
12049,Neukölln,Kita Sonnenschein,Hermannstr.,224,Kita Sonnenblümchen gemeinnützige GmbH,22
12049,Neukölln,Kita Füchse,Herrfurthplatz,003,Hauptstadtracker gGmbH,22
12049,Neukölln,Die Kinkies,Weisestr.,004,Die Kinkies e.V.,21
12049,Neukölln,Kita Hasenreiter,Herrfurthplatz,4,Hauptstadtracker gGmbH,20
12049,Neukölln,Kita Kiezkinder,Lucy-Lameck-Str.,4,Kiezkinder e.V.,19
12049,Neukölln,EKT -Kwetu,Lucy-Lameck-Str.,045,Kwetu e.V.,18
12049,Neukölln,EKT - Kita Karlsgartenstraße,Schillerpromenade,029,Kita Karlsgartenstr. e.V.,18
12049,Neukölln,EKT Kinderladen Feldmäuse an der Hasenheide,Lichtenrader Str.,11,Kinderladen an der Hasenheide e. V.,18
12049,Neukölln,EKT - Kleine Erdenwesen,Lucy-Lameck-Str.,20,kleine Erdenwesen e.V.,17
12049,Neukölln,EKT - Ringelsöckchen,Lucy-Lameck-Str.,045,Ringelsöckchen e.V.,14
12051,Neukölln,Kita Emser Str. 81-82/Kitas SüdOst,Emser Str.,081,Kindertagesstätten SüdOst Eigenbetrieb von Berlin,170
12051,Neukölln,Kleiner Fratz,Glasower Str.,018,Kleiner Fratz City Süd GmbH,156
12051,Neukölln,Kita Silbersteinstr. 121/Kitas SüdOst,Silbersteinstr.,121,Kindertagesstätten SüdOst Eigenbetrieb von Berlin,140
12051,Neukölln,Kita Bendastr.,Bendastr.,011D,Arbeiterwohlfahrt Berlin Kreisverband Südost e.V.,136
12051,Neukölln,Kita Focus FAMILIE,Hermannstr.,135A,Jugend- und Sozialwerk gGmbH,115
12051,Neukölln,Kita Warthestraße,Warthestr.,062A,FiPP e. V. - Fortbildungsinstitut für die pädagogische Praxis,110
12051,Neukölln,Kita Kinderparadies Körnerpark,Schierker Str.,057,IBEB Initiative für Bildung und Erziehung Berlin gemeinnützige GmbH,100
12051,Neukölln,Ev. Kita Philipp Melanchthon,Bruno-Bauer-Str.,014,Evangelischer Verband für Kita und Familie,90
12051,Neukölln,Ev. Kita Brüdergemeinde,Juliusstraße,58,Evangelischer Verband für Kita und Familie,85
12051,Neukölln,Kita MANNA Maria,Mariendorfer Weg,28,Malteser Hilfsdienst gGmbH,84
12051,Neukölln,Kita Mariendorfer Weg 8/Kitas SüdOst,Mariendorfer Weg,008,Kindertagesstätten SüdOst Eigenbetrieb von Berlin,80
12051,Neukölln,Kita Nachbarschaftsheim Neukölln,Schierker Str.,053,Nachbarschaftsheim Neukölln e.V.,80
12051,Neukölln,Kita Tommelise,Mariendorfer Weg,054,Nordische Bildungswerkstatt UG (haftungsbeschränkt),76
12051,Neukölln,"EKT - ""Pumuckel"" Verein z.Errichtung u.Betreibung v.EKT's e.V.",Warthestr.,056,Verein zur Errichtung und Betreibung von EKT's e.V.,63
12051,Neukölln,EKT - Ali Baba u.seine Räuber,Kranoldstr.,001,Ali Baba und seine Räuber e.V.,54
12051,Neukölln,Kita Arielle 1,Emser Str.,019,Ali Baba Multikulturelle Generation gGmbH,52
12051,Neukölln,Kita Mäusegrube,Hermannstr.,141,Hauptstadtracker gGmbH,44
12051,Neukölln,"Kita ""Die Schlümpfe""",Nogatstr.,040,edura Kindertagesstätten Yuvam gGmbH,40
12051,Neukölln,Kleiner Fratz,Bruno-Bauer-Str.,017,Kleiner Fratz GmbH,40
12051,Neukölln,Kita Forscherglück,Glasower Str.,003A,Johanniter-Unfall-Hilfe e. V. Regionalverband Berlin,38
12051,Neukölln,Kindertagesstätte Helin,Nogatstr.,005,Waqfa Kultura Kurdi-Stiftung kurdische Kultur,37
